Segmento	Produto	Cor	Preco	Gramatura m2
DECORACAO	JUEVES LISO	52, 70	12,17	172,4
DECORACAO	KOYUN	02, 16, 51, 71, 79	29,11	377
DECORACAO	KOYUN PRIME	02, 16, 31, 51, 71, 75, 78, 79	29,11	432
DECORACAO	LINKED 100	02, 34, 35, 52, 53, 75, 77	17,49	246
DECORACAO	LINKED 100	02, 34, 35, 52, 54, 55, 75	17,48	239
DECORACAO	LINKED 100 TOUCH	57	17,49	239
DECORACAO	LINKED 200	02, 12, 52, 54, 55	17,49	245
DECORACAO	LINKED 200	75	17,49	26
DECORACAO	LINKED 200 TOUCH	52, 54	17,48	255
DECORACAO	LINKED 300	21, 34, 54, 75, 79	17,49	226
DECORACAO	LINKED 400	02, 35, 75	17,49	269
DECORACAO	LINKED 400 TOUCH	02, 34, 35	17,48	266
DECORACAO	MARBLE	52, 53, 55, 57, 70, 72, 73, 74, 75, 76, 77	17,5	248,6
DECORACAO	MAXX	52, 71, 74	17,34	248
DECORACAO	MAXX	72	17,34	2484
DECORACAO	MILANO	10, 34, 51, 54	16,69	226,45
DECORACAO	MOMENT	02, 39, 55, 70, 73, 84	16,03	192
DECORACAO	MOVE MIX PRIME	52, 53, 54, 55, 72, 73, 75	18,15	292
DECORACAO	MOVE PLAIN PRIME	50	18,15	301
DECORACAO	NEW CORRIENTE	10, 13, 17, 30, 40, 51, 52, 59	13,42	174
DECORACAO	NEW CORRIENTE TOUCH	02, 21, 31, 32, 50, 51, 52, 59, 71	13,42	195
DECORACAO	NOBLE NAC	01, 02, 22, 40, 50, 54, 56, 59, 70, 71, 72, 73, 78, 79, 80	26,73	362
DECORACAO	NW CORDILLERA	55	14,77	176,2
DECORACAO	NW CORDILLERA	56	14,77	176,2
DECORACAO	NW MALIBU 200	10, 34	12,53	176
DECORACAO	OMEGA	02, 28, 35, 53, 55, 70, 72	16,82	205
DECORACAO	ORION	20, 21, 22, 23, 26, 30, 31, 51, 52, 53, 54, 56, 58, 59, 72	14,61	192
DECORACAO	PIPA	02, 31	19,72	319,4
DECORACAO	PLAIN JACQ	55, 56	13,75	205,8
DECORACAO	PLAIN JACQ TOUCH	30, 51, 55	13,75	179
DECORACAO	PLAIN JACQ TOUCH	52, 56	13,75	176
DECORACAO	PLUG	35, 51, 52, 53, 55, 72, 76	15,73	200,6
DECORACAO	PLUG	74	15,73	200,6
DECORACAO	PROVINCIA SOFT	02, 14, 17, 21, 30, 31, 32, 50, 51, 72, 75, 79	15,62	237
DECORACAO	RARITY	34, 51, 74	21,98	260
DECORACAO	ROBUST	02, 34, 51, 71, 74, 75	32,67	398
DECORACAO	RUST	52, 54, 55, 71, 72, 73, 75, 76, 78	20,01	230
DECORACAO	SL ALTIS 100	2	20,45	177,6
DECORACAO	SL DELICATO	52, 57, 72, 78	25,13	317
DECORACAO	SL DELICATO	56	25,13	317
DECORACAO	SL ESSENCE	57, 72, 78, 79	25,13	329,6
DECORACAO	SL LEINEN 140	1	23,7	175
DECORACAO	SL LEINEN 200	1	23,7	161
DECORACAO	SL PRIME	01, 17, 22, 23, 30, 32	19,13	278
DECORACAO	SL PRIME	02, 14, 31, 50, 52, 72	19,13	278
DECORACAO	SOFT ONE	55, 70	13,66	193
DECORACAO	SOFT TWO	10, 52, 55, 71	13,66	181
DECORACAO	SQUARE	01, 02, 12, 23, 50, 52, 56, 57, 70, 71, 76	26,79	354
DECORACAO	SQUARE PRIME	01, 02, 53, 55, 59, 71, 76	26,79	412
DECORACAO	TEX VELVETY	09, 10, 18, 28, 31, 40, 50, 52, 59, 70, 75	27,4	270
DECORACAO	TRIUMPH	02, 35, 53, 55, 72, 81	16,39	196,4
DECORACAO	TRIUMPH TOUCH	35, 53, 55, 81	16,39	201
DECORACAO	TWIST	09, 10, 34, 35, 51, 54, 55, 58, 70, 72, 73, 74	13,04	168
DECORACAO	TWIST TOUCH	34, 52, 55, 72, 74	13,04	163
DECORACAO	VERMONT	10, 13, 31, 50, 52, 71, 72, 73, 74, 76	19,54	212
DECORACAO	VIERNES 225	34, 51	11,95	167
DECORACAO	VIERNES	34, 50, 51, 76	11,95	167
DECORACAO	YANG	02, 72	20,08	429
DECORACAO	YANG	14	20,08	429
DECORACAO	YANG	31, 55	20,08	429
DECORACAO	YANG	78	20,08	
DECORACAO	YARIS	02, 14, 55, 72, 78	31,9	495
DECORACAO	YARIS PRIME	02, 14, 31, 55, 72, 78	30	519
MALHARIA	MLH BLACK WHITE 100	50	19,32	164
MALHARIA	MLH CECHELLA	01, 51, 56, 72	40,15	375,8
MALHARIA	MLH CECHELLA	73	40,15	375,8
MALHARIA	MLH CECHELLA PLAIN	56	40,15	423
MALHARIA	MLH CLOUD 100	01, 51, 72, 74	26,73	265,4
MALHARIA	MLH CLOUD 200	01, 51, 72, 74	26,73	257
MALHARIA	MLH CLOUD 300	01, 51, 72, 74	26,73	259
MALHARIA	MLH CLOUD 400	01, 51, 72, 74	26,73	267
MALHARIA	MLH CLOUD 500	01, 51, 72, 74	26,73	258
MALHARIA	MLH COMFORT 150	11, 50	31,7	306
MALHARIA	MLH COMFORT 350	70	31,7	350,8
MALHARIA	MLH FLEX 110	11	29,34	234
MALHARIA	MLH FROST	1	48,97	472
MALHARIA	MLH FROST	21	48,97	508
MALHARIA	MLH FROST	50, 52, 72	48,97	500,1
MALHARIA	MLH LINEN 100	72, 74	45,74	344
MALHARIA	MLH LINEN 200	72, 74	45,74	349
MALHARIA	MLH LINEN 300	72	45,74	362
MALHARIA	MLH LINEN 300	74	45,74	362
MALHARIA	MLH LOHMAN	01, 51, 56, 72, 73	40,15	371,8
MALHARIA	MLH MONTENEGRO	01, 51, 56, 72, 73	40,15	415
MALHARIA	MLH RIGON	01, 51, 56, 72, 73	40,15	377
MALHARIA	MLH SAMORA	01, 51, 56, 72, 73	40,15	395
MALHARIA	MLH SUBLIME	1	31,89	367
MALHARIA	MLH SUBLIME	24	31,89	355
MALHARIA	MLH SUBLIME	51	31,89	389
MALHARIA	MLH SUBLIME	72	31,89	372
MALHARIA	MLH TEXTILE 100	74	25,38	268
MALHARIA	MLH TEXTILE 200	50	25,38	265
MALHARIA	MLH TEXTILE 200	72	25,38	281
OFFICE	DETROIT	10, 11, 21, 22, 31, 50	14,85	293
OFFICE	OFFICE LINE	10, 23, 50, 52	15,81	185,1
OFFICE	OFFICE PLAIN	10, 23, 50, 52	14,85	160
OFFICE	OFFICE TOUCH	10, 23, 50, 52	18,41	160
OFFICE	REGALL	11, 12, 25, 31, 51, 74, 75	14,85	305,4
OFFICE	SMART OFFICE	18, 19, 50	12,24	174,6
OFFICE	SPIN OFFICE	50, 52, 55, 59, 72	25	300
OFFICE	TEX LINE OFFICE	10, 23, 50, 52	15,81	173
OFFICE	TILBURY	07, 24, 26, 27, 38, 50, 51, 56, 77, 78	13,79	244
TEC COLONY	TEC COLONY COBOGO	10, 20, 70	16,88	206
TEC COLONY	TEC COLONY PIRAMIDE	10, 70, 74	16,88	206
TEC COLONY	TEC COLONY ROCOCO	10, 51, 70, 74	16,88	206
TEC COLONY	TEC COLONY ZIGZAG	10, 70, 74	16,88	206
